timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
352386561,1574736274200090,372464934,1266671732,10837,28824,0.54800004,0.06850941,1.034,1.373,0.69,1.27,64,4,5.01,5.005,0.238,0.135,0.052567743,0,3,1,15
352578773,1574736274400090,372465024,1266671737,10819,28805,0.555,0.07915068,1.047,1.3870001,0.69,1.27,64,4,5.038,5.0360003,0.14500001,0.064,0.042027,0,3,1,15
352779630,1574736274600090,372465108,1266671745,10975,28962,0.469,0.063460864,1.057,1.396,0.69,1.27,64,4,4.776,4.754,0.453,-0.246,0.074767284,0,3,1,15
352975562,1574736274800090,372465193,1266671754,11045,29031,0.56200004,0.08334889,1.0680001,1.4150001,0.69,1.27,64,4,4.813,4.802,0.32000002,-0.29200003,0.07162046,0,3,1,15
353186739,1574736275000090,372465280,1266671760,11105,29092,0.40600002,0.039633807,1.0780001,1.439,0.69,1.27,65,6,5.032,5.018,0.372,-0.34300002,0.07358727,0,3,1,15
353371793,1574736275200090,372465371,1266671770,11164,29151,0.54800004,0.08870513,1.0860001,1.4590001,0.69,1.27,65,6,5.0540004,5.0230002,0.563,-0.347,0.080809616,0,3,1,15
353571606,1574736275400090,372465461,1266671780,11204,29191,0.54700005,0.07494461,1.0990001,1.4760001,0.69,1.27,65,6,5.065,5.052,0.36,-0.19900002,0.07513101,0,3,1,15
353778696,1574736275600090,372465553,1266671785,11194,29181,0.38500002,0.04516039,1.1060001,1.4720001,0.69,1.27,65,6,5.122,5.1120005,0.32700002,-0.148,0.06684087,0,3,1,15
353979558,1574736275800090,372465647,1266671796,11310,29296,0.573,0.06654608,1.113,1.493,0.69,1.27,65,6,5.5820003,5.558,0.514,0.024,0.07564256,0,3,1,15
354191569,1574736276000090,372465743,1266671805,11305,29291,0.58500004,0.074617706,1.125,1.521,0.69,1.27,65,3,5.2120004,5.2000003,0.351,-0.164,0.07186672,0,3,1,15
354378591,1574736276200090,372465836,1266671814,11332,29319,0.55,0.08638158,1.139,1.539,0.69,1.27,65,3,5.1010003,5.076,0.50100005,-0.1,0.083487816,0,3,1,15
354571609,1574736276400090,372465930,1266671823,11345,29331,0.54300004,0.07860212,1.1520001,1.5530001,0.69,1.27,65,3,5.373,5.3630004,0.33100003,-0.08800001,0.07133859,0,3,1,15
354772506,1574736276600090,372466028,1266671829,11402,29388,0.31100002,0.040335953,1.154,1.534,0.69,1.27,65,3,5.274,5.2660003,0.291,-0.24700001,0.05846521,0,3,1,15
354976549,1574736276800090,372466122,1266671834,11470,29457,0.289,0.037715167,1.1520001,1.5320001,0.69,1.27,65,3,5.242,5.2370005,0.23400001,-0.246,0.05053513,0,3,1,15
355164575,1574736277000090,372466219,1266671842,11416,29403,0.36,0.04662839,1.149,1.526,0.69,1.27,65,2,5.247,5.2250004,0.476,-0.179,0.068268724,0,3,1,15
355375012,1574736277200090,372466314,1266671849,11447,29434,0.35200003,0.04273543,1.149,1.5220001,0.69,1.27,65,2,5.282,5.274,0.29900002,-0.128,0.061586905,0,3,1,15
355580589,1574736277400090,372466411,1266671858,11482,29469,0.39400002,0.048132863,1.1500001,1.5220001,0.69,1.27,65,2,5.3620005,5.3440003,0.43800002,-0.16900001,0.07125917,0,3,1,15
355780500,1574736277600090,372466507,1266671867,11588,29575,0.21900001,0.031555377,1.1420001,1.501,0.69,1.27,65,2,5.3310003,5.32,0.342,-0.28800002,0.066198416,0,3,1,15
355979557,1574736277800090,372466603,1266671873,11657,29644,0.38900003,0.03625171,1.141,1.506,0.69,1.27,65,2,5.339,5.335,0.223,-0.363,0.054071344,0,3,1,15
356184491,1574736278000090,372466703,1266671878,11694,29680,0.536,0.06817797,1.146,1.511,0.69,1.27,69,3,5.5950003,5.589,0.275,-0.312,0.052782767,0,3,1,15
356379633,1574736278200090,372466803,1266671886,11754,29740,0.53400004,0.062043484,1.1550001,1.5220001,0.69,1.27,69,3,5.4740005,5.4620004,0.35900003,-0.37500003,0.059992723,0,3,1,15
356568478,1574736278400090,372466902,1266671890,11793,29779,0.256,0.034255575,1.154,1.5120001,0.69,1.27,69,3,5.4430003,5.4370003,0.26500002,-0.21000001,0.051193472,0,3,1,15
356776507,1574736278600090,372466996,1266671896,12000,29987,0.264,0.038495854,1.1470001,1.4990001,0.69,1.27,69,3,5.13,5.124,0.254,-0.41700003,0.05041523,0,3,1,15
356984474,1574736278800090,372467092,1266671903,12112,30099,0.27100003,0.036350843,1.141,1.4900001,0.69,1.27,69,3,5.3160005,5.3030005,0.367,-0.49300003,0.06108303,0,3,1,15
357184482,1574736279000090,372467187,1266671909,12201,30187,0.275,0.031891003,1.1340001,1.48,0.69,1.27,69,2,5.176,5.168,0.29700002,-0.42700002,0.058848135,0,3,1,15
357375783,1574736279200090,372467283,1266671915,12264,30250,0.321,0.03762284,1.131,1.475,0.69,1.27,69,2,5.3620005,5.3570004,0.22100002,-0.31500003,0.05033494,0,3,1,15
357576643,1574736279400090,372467380,1266671920,12314,30300,0.32000002,0.037472915,1.128,1.47,0.69,1.27,69,2,5.3050003,5.302,0.19000001,-0.081,0.04242424,0,3,1,15
357772503,1574736279600090,372467474,1266671923,12370,30356,0.273,0.030924091,1.123,1.462,0.69,1.27,69,2,5.2180004,5.209,0.3,-0.231,0.052059155,0,3,1,15
357968550,1574736279800090,372467569,1266671929,12395,30381,0.294,0.038224105,1.118,1.455,0.69,1.27,69,2,5.2590003,5.2440004,0.39400002,-0.31500003,0.06260601,0,3,1,15
358168526,1574736280000090,372467665,1266671935,12440,30426,0.29200003,0.028753076,1.115,1.4510001,0.69,1.27,64,2,5.2380004,5.2330003,0.216,-0.14600001,0.048136875,0,3,1,15
358369559,1574736280200090,372467759,1266671940,12486,30473,0.27600002,0.03449905,1.1110001,1.447,0.69,1.27,64,2,5.0880003,5.0740004,0.36600003,-0.22200002,0.05959723,0,3,1,15
358572913,1574736280400090,372467849,1266671947,12527,30513,0.23400001,0.03763645,1.105,1.439,0.69,1.27,64,2,4.749,4.734,0.37500003,-0.21100001,0.06941418,0,3,1,15
358765475,1574736280600090,372467932,1266671955,12557,30543,0.21300001,0.036985617,1.0960001,1.4280001,0.69,1.27,64,2,4.557,4.5420003,0.363,0.0,0.075117916,0,3,1,15
358965516,1574736280800090,372468006,1266671961,12644,30630,0.22600001,0.045100525,1.0890001,1.4180001,0.69,1.27,64,2,4.1260004,4.118,0.26700002,-0.018000001,0.0705839,0,3,1,15
359165530,1574736281000090,372468071,1266671966,12716,30702,0.22900002,0.049883775,1.0810001,1.4070001,0.69,1.27,64,5,3.5730002,3.5690002,0.16600001,-0.127,0.059173815,0,3,1,15
359565433,1574736281400090,372468171,1266671967,12814,30800,0.29200003,0.08058795,1.069,1.3900001,0.69,1.27,64,5,2.4090002,2.407,-0.093,0.148,0.014770895,0,3,1,15
359765477,1574736281600090,372468205,1266671962,12852,30839,0.18900001,0.097811386,1.062,1.381,0.69,1.27,64,5,1.723,1.7140001,-0.178,0.115,6.249827,0,3,1,15
359965505,1574736281800090,372468227,1266671955,12903,30890,0.164,0.111326694,1.0530001,1.3700001,0.69,1.27,64,5,1.291,1.2090001,-0.453,-0.002,6.1076083,0,3,1,15
360184522,1574736282000090,372468244,1266671944,12944,30931,0.2,0.17040643,1.0450001,1.3620001,0.69,1.27,64,6,0.9760001,0.82800007,-0.518,-0.012,5.9926114,0,3,1,15
360372672,1574736282200090,372468256,1266671929,12962,30948,0.24900001,0.2310486,1.041,1.3570001,0.69,1.27,64,6,0.85300004,0.52900004,-0.669,0.021000002,5.7767854,0,3,1,15
360565277,1574736282400090,372468263,1266671909,13000,30987,0.179,0.20502992,1.036,1.3510001,0.69,1.27,64,6,1.016,0.21300001,-0.994,-0.164,5.2991176,0,3,1,15
