timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
378677319,21.060595,20.899437,32.910244,34.00546,0.0,356.0049,0.6494692,1.157434,0.0,6,0,0,0,0,0,1,1,0,0,0
379181295,21.099363,20.936016,32.25578,32.92227,0.0,360.50516,0.64617914,1.1559199,0.0,6,0,0,0,0,0,1,1,0,0,0
379674250,21.050903,20.958544,32.427185,32.56714,0.0,364.92255,0.6430386,1.1550916,0.0,6,0,0,0,0,0,1,1,0,0,0
380178522,21.012135,20.973513,30.915682,32.377357,0.0,369.43964,0.63986766,1.1545721,0.0,6,0,0,0,0,0,1,1,0,0,0
380682111,21.205975,21.041706,29.84049,31.019093,0.0,373.65454,0.6368484,1.1517555,0.0,6,0,0,0,0,0,1,1,0,0,0
381186100,21.264126,21.122438,27.752436,29.647165,0.0,377.68307,0.6340141,1.1482371,0.0,6,0,0,0,0,0,1,1,0,0,0
381678184,21.18659,21.153658,29.700249,29.616745,0.0,381.71976,0.63135624,1.1467806,0.0,6,0,0,0,0,0,1,1,0,0,0
382182147,21.128439,21.142239,28.593891,29.966545,0.0,385.9731,0.628639,1.1472552,0.0,6,0,0,0,0,0,1,1,0,0,0
382686158,21.419197,21.168344,28.796463,29.509464,0.0,390.0585,0.6259918,1.1462054,0.0,6,0,0,0,0,0,1,1,0,0,0
383191068,21.244741,21.239513,29.108112,28.270378,0.0,393.8903,0.6235025,1.1431078,0.0,6,0,0,0,0,0,1,1,0,0,0
383695031,21.225359,21.207146,28.765297,29.386372,0.0,398.13535,0.62096995,1.144537,0.0,6,0,0,0,0,0,1,1,0,0,0
384199383,20.992752,21.226114,29.232773,28.82989,0.0,402.12915,0.6184937,1.14397,0.0,6,0,0,0,0,0,1,1,0,0,0
384702994,20.866756,21.122154,33.56471,31.224514,0.0,406.70004,0.6158593,1.1486139,0.0,6,0,0,0,0,0,1,1,0,0,0
385207207,20.857063,21.041576,32.427185,32.337437,0.0,411.35538,0.6130538,1.1520361,0.0,6,0,0,0,0,0,1,1,0,0,0
385711043,20.769836,20.985483,34.343834,32.777622,0.0,415.96732,0.61017895,1.1545116,0.0,6,0,0,0,0,0,1,1,0,0,0
386214968,20.827988,20.927927,34.951553,33.608143,0.0,420.74646,0.60718316,1.1569229,0.0,6,0,0,0,0,0,1,1,0,0,0
386719164,20.58569,20.862577,36.18257,34.392525,0.0,425.62808,0.6041053,1.1596631,0.0,6,0,0,0,0,0,1,1,0,0,0
387726984,20.63415,20.738771,34.063347,35.486977,0.0,435.7924,0.5974906,1.1649104,0.0,6,0,0,0,0,0,1,1,0,0,0
388231059,20.566305,20.735123,35.12296,35.074272,0.0,440.6514,0.5942047,1.1651973,0.0,6,0,0,0,0,0,1,1,0,0,0
388723691,20.77953,20.731537,34.702232,34.92975,0.0,445.42218,0.591008,1.1654205,0.0,6,0,0,0,0,0,1,1,0,0,0
389227738,20.876448,20.726337,33.923107,34.927624,0.0,450.31458,0.5877448,1.1657192,0.0,6,0,0,0,0,0,1,1,0,0,0
389731749,20.876448,20.796846,33.08165,33.393467,0.0,454.83292,0.58464473,1.1625987,0.0,6,0,0,0,0,0,1,1,0,0,0
390235769,20.924908,20.821259,32.520683,33.02256,0.0,459.4264,0.5816418,1.1616216,0.0,6,0,0,0,0,0,1,1,0,0,0
390739846,20.760145,20.81153,33.159565,33.225124,0.0,464.09317,0.5786569,1.1622425,0.0,6,0,0,0,0,0,1,1,0,0,0
391243849,20.876448,20.847647,31.850632,32.57631,0.0,468.60233,0.57574075,1.1607336,0.0,6,0,0,0,0,0,1,1,0,0,0
391747758,20.895832,20.844198,32.910244,32.815536,0.0,473.20963,0.5728597,1.1610508,0.0,6,0,0,0,0,0,1,1,0,0,0
392251731,20.77953,20.85732,32.02204,32.401665,0.0,477.716,0.5700185,1.160625,0.0,6,0,0,0,0,0,1,1,0,0,0
392755720,20.721376,20.857174,35.309948,32.55898,0.0,482.27905,0.56720835,1.160668,0.0,6,0,0,0,0,0,1,1,0,0,0
393260687,20.798912,20.812147,32.271362,33.464733,0.0,487.13095,0.56428504,1.1626593,0.0,6,0,0,0,0,0,1,1,0,0,0
