timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
438965593,0.14995709,0.27064252,0.4881417
438989531,0.15392806,0.27980572,0.4881417
439014143,0.14201517,0.2729333,0.4977875
439038428,0.14201517,0.2820965,0.4893474
439061519,0.14069153,0.27064252,0.49175888
439086022,0.13804421,0.2809511,0.4977875
439109584,0.13804421,0.2740787,0.49055314
439133510,0.15525171,0.2763695,0.4893474
439157487,0.14201517,0.2740787,0.4893474
439181588,0.15392806,0.2843873,0.48573023
439205499,0.14069153,0.27980572,0.49055314
439229376,0.1353969,0.27522412,0.5038162
439253441,0.13936786,0.2775149,0.49658176
439278207,0.13407324,0.27522412,0.5062277
439301963,0.13672055,0.26606095,0.5062277
439325383,0.14466248,0.27064252,0.49658176
439349440,0.14863344,0.27522412,0.4929646
439374296,0.14598614,0.2729333,0.482113
439397578,0.14333883,0.26949713,0.4929646
439422230,0.14201517,0.27064252,0.500199
439446331,0.13936786,0.2729333,0.500199
439467529,0.14598614,0.2740787,0.500199
439494853,0.14863344,0.2740787,0.50261045
439518569,0.15128075,0.26606095,0.48693594
439542450,0.14466248,0.25918856,0.49899322
439566275,0.15392806,0.25918856,0.49537602
439590859,0.14466248,0.26835173,0.4977875
439614220,0.14863344,0.25918856,0.4893474
439638257,0.14466248,0.2775149,0.49175888
439662363,0.14863344,0.27522412,0.48573023
439686371,0.15525171,0.26606095,0.49417034
439710970,0.15657535,0.2717879,0.48693594
439734351,0.17113556,0.2786603,0.48573023
439758406,0.1671646,0.2763695,0.48331875
439783141,0.16848825,0.2843873,0.4929646
439806829,0.16054633,0.2729333,0.48573023
439830906,0.15922268,0.2820965,0.48693594
439854365,0.15922268,0.2786603,0.49658176
439878321,0.16186999,0.2786603,0.48331875
439902356,0.16319364,0.28553268,0.49055314
439926288,0.16186999,0.2809511,0.4881417
439950573,0.18304844,0.29125968,0.47970155
439975054,0.16584094,0.2866781,0.4772901
439998821,0.16584094,0.2775149,0.48090726
440022828,0.18304844,0.29125968,0.47970155
440046861,0.1698119,0.29698664,0.47970155
440071163,0.17113556,0.29584125,0.4784958
440094888,0.17510653,0.29698664,0.482113
440118856,0.16054633,0.2832419,0.4845245
440142565,0.17775384,0.29813206,0.48693594
440166433,0.17775384,0.2866781,0.48331875
440190954,0.17113556,0.2878235,0.4784958
440214300,0.1671646,0.29355046,0.4736729
440238423,0.17113556,0.2832419,0.4845245
440262832,0.15525171,0.29011428,0.4845245
440286569,0.15392806,0.29240507,0.47970155
440311241,0.16848825,0.29927745,0.4881417
440335518,0.15525171,0.29584125,0.4772901
440358428,0.15392806,0.2889689,0.4893474
440379600,0.16584094,0.29355046,0.48090726
440403516,0.16451728,0.29698664,0.46884996
440430729,0.16186999,0.29584125,0.4772901
440454204,0.15657535,0.2878235,0.4784958
