timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
489343919,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
490348023,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
491359932,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
492361145,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
493368933,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
494374049,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
495382782,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
496393646,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
497394065,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
498394166,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
499406347,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
500414294,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
501414526,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
502418415,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
503426571,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
503919542,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
506936203,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
507939904,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
508827795,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
509828496,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
510836601,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
511845417,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
512853597,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
