timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
437549316,-0.09894495,0.10651063,-1.010765,0.0,0.8739543,-0.017469458,0.07042682,-0.480561,0.40068105,1.0,1,0,0,0,0,0,0
437652937,-0.0985581,0.09789396,-1.010765,0.0,0.87404734,-0.019390495,0.06657886,-0.4808665,0.4008027,1.0,1,0,0,0,0,0,0
437756937,-0.103241354,0.10661174,-1.010765,0.0,0.87391365,-0.01932232,0.07150305,-0.48040497,0.39890355,1.0,1,0,0,0,0,0,0
437856592,-0.10556585,0.10566107,-1.010765,0.0,0.8739004,-0.02056866,0.07164725,-0.48035562,0.400994,1.0,1,0,0,0,0,0,0
437957831,-0.104355454,0.10593492,-1.010765,0.0,0.8739099,-0.01997334,0.07147582,-0.48038915,0.40135902,1.0,1,0,0,0,0,0,0
438061236,-0.1227918,0.10817161,-1.010765,0.0,0.87366956,-0.027485367,0.076874554,-0.47962105,0.39445177,1.0,1,0,0,0,0,0,0
438160678,-0.117450096,0.11055968,-1.010765,0.0,0.8737167,-0.024572259,0.076632835,-0.47973195,0.3874446,1.0,1,0,0,0,0,0,0
438264642,-0.11063804,0.10612914,-1.010765,0.0,0.873841,-0.02267131,0.07306907,-0.48015517,0.3918637,1.0,1,0,0,0,0,0,0
438365448,-0.108922444,0.09760931,-1.010765,0.0,0.8739374,-0.023988735,0.068945885,-0.4805251,0.39293885,1.0,1,0,0,0,0,0,0
438465006,-0.11308886,0.105244145,-1.010765,0.0,0.87382084,-0.02395686,0.07327204,-0.4800984,0.3890775,1.0,1,0,0,0,0,0,0
438569233,-0.110964425,0.10604342,-1.010765,0.0,0.87383807,-0.022834718,0.07311012,-0.48014632,0.3922858,1.0,1,0,0,0,0,0,0
438669543,-0.107526325,0.10804574,-1.010765,0.0,0.8738553,-0.020846685,0.07315669,-0.48019847,0.3868402,1.0,1,0,0,0,0,0,0
438774764,-0.1059796,0.10363351,-1.010765,0.0,0.87391657,-0.021241361,0.07086338,-0.4804134,0.3829951,1.0,1,0,0,0,0,0,0
438877628,-0.11351182,0.11104852,-1.010765,0.0,0.8737583,-0.02273311,0.075900845,-0.47986314,0.37769186,1.0,1,0,0,0,0,0,0
438981345,-0.111500345,0.11218795,-1.010765,0.0,0.87376827,-0.021577807,0.07591428,-0.47989625,0.37573165,1.0,1,0,0,0,0,0,0
439080659,-0.114721395,0.10807957,-1.010765,0.0,0.87377423,-0.02398206,0.07489849,-0.47993088,0.3783807,1.0,1,0,0,0,0,0,0
439184661,-0.10275263,0.10257918,-1.010765,0.0,0.8739603,-0.02008705,0.06962878,-0.48056385,0.38887164,1.0,1,0,0,0,0,0,0
439285028,-0.106458284,0.09819043,-1.010765,0.0,0.8739613,-0.022770982,0.06860698,-0.48058924,0.39505106,1.0,1,0,0,0,0,0,0
439389193,-0.10598454,0.08707074,-1.010765,0.0,0.87404925,-0.025260989,0.06364699,-0.4809874,0.4059446,1.0,1,0,0,0,0,0,0
439490320,-0.09097176,0.08019079,-1.010765,0.0,0.8742643,-0.020367365,0.05703371,-0.48165786,0.41233838,1.0,1,0,0,0,0,0,0
439590696,-0.07993115,0.0736712,-1.010765,0.0,0.87441,-0.01712103,0.051528484,-0.48213992,0.42057553,1.0,1,0,0,0,0,0,0
439690206,-0.06961923,0.067362785,-1.010765,0.0,0.87453073,-0.014141001,0.046287283,-0.48254895,0.4157854,1.0,1,0,0,0,0,0,0
439794184,-0.07463335,0.07192943,-1.010765,0.0,0.8744643,-0.015226846,0.04949076,-0.48231846,0.40544885,1.0,1,0,0,0,0,0,0
439893991,-0.07293585,0.06547865,-1.010765,0.0,0.8745168,-0.016047759,0.04626469,-0.48251668,0.40848938,1.0,1,0,0,0,0,0,0
439998612,-0.06526614,0.06675296,-1.010765,0.0,0.8745636,-0.01238526,0.044970542,-0.48266226,0.40485984,1.0,1,0,0,0,0,0,0
440101934,-0.061673798,0.066430345,-1.010765,0.0,0.8745867,-0.010892536,0.043962605,-0.4827492,0.4074399,1.0,1,0,0,0,0,0,0
440201555,-0.061855912,0.06421155,-1.010765,0.0,0.87460077,-0.011509717,0.04303738,-0.4827927,0.39894348,1.0,1,0,0,0,0,0,0
440305542,-0.06606541,0.07195366,-1.010765,0.0,0.87452126,-0.011474666,0.047434654,-0.48252547,0.401357,1.0,1,0,0,0,0,0,0
440406302,-0.05289107,0.060043044,-1.010765,0.0,0.87467355,-0.008599019,0.039051518,-0.4830603,0.4043408,1.0,1,0,0,0,0,0,0
440505416,-0.060173105,0.05893196,-1.010765,0.0,0.8746428,-0.012052812,0.04032467,-0.48293748,0.3969661,1.0,1,0,0,0,0,0,0
440610170,-0.05845456,0.058958873,-1.010765,0.0,0.8746527,-0.011294731,0.039921436,-0.48297137,0.4110491,1.0,1,0,0,0,0,0,0
440714179,-0.047527477,0.050551888,-1.010765,0.0,0.87475365,-0.008552027,0.033607848,-0.48332536,0.42169306,1.0,1,0,0,0,0,0,0
440814090,-0.0537719,0.05008532,-1.010765,0.0,0.87472475,-0.01139615,0.034912825,-0.48322642,0.42024776,1.0,1,0,0,0,0,0,0
440918102,-0.04588988,0.046942882,-1.010765,0.0,0.8747788,-0.008709807,0.031634547,-0.4834103,0.42737046,1.0,1,0,0,0,0,0,0
441022106,-0.040650085,0.045413494,-1.010765,0.0,0.8748065,-0.0067883083,0.02969935,-0.4835136,0.42919454,1.0,1,0,0,0,0,0,0
441121585,-0.04222373,0.04463153,-1.010765,0.0,0.8748046,-0.007665988,0.029737923,-0.48350158,0.4322566,1.0,1,0,0,0,0,0,0
441223566,-0.03942712,0.0445878,-1.010765,0.0,0.8748147,-0.006453327,0.029042693,-0.4835433,0.42908022,1.0,1,0,0,0,0,0,0
441325803,-0.037342597,0.043243315,-1.010765,0.0,0.8748278,-0.005867104,0.027950874,-0.48359153,0.4197525,1.0,1,0,0,0,0,0,0
441425443,-0.04197939,0.04716551,-1.010765,0.0,0.87479293,-0.006945474,0.030786626,-0.4834679,0.4137203,1.0,1,0,0,0,0,0,0
441530336,-0.02425572,0.04040802,-1.010765,0.0,0.87486506,-0.0008290954,0.023546057,-0.48379332,0.41723052,1.0,1,0,0,0,0,0,0
