timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
639911587,639911285,0.0069958903,0.048235763,0.092151694,0.38316292,0.0,0.0,0.0,1.0
640011534,640011316,0.010838866,0.07064652,0.09480993,0.3879451,0.0,0.0,0.0,1.0
640115413,640115282,0.03457556,0.064759485,0.099217646,0.38731894,0.0,0.0,0.0,1.0
640215410,640215282,0.020295957,0.049891174,0.09702687,0.38619828,0.0,0.0,0.0,1.0
640315511,640315288,0.0289806,0.064546876,0.09671178,0.39235663,0.0,0.0,0.0,1.0
640419410,640419282,0.040224746,0.05874027,0.09852739,0.39405358,0.0,0.0,0.0,1.0
640519456,640519282,0.032210965,0.059727207,0.10041465,0.3892959,0.0,0.0,0.0,1.0
640619417,640619282,0.036598455,0.06449537,0.09825133,0.395371,0.0,0.0,0.0,1.0
640723538,640723282,0.0005172724,0.0753189,0.10095171,0.38781458,0.0,0.0,0.0,1.0
640823415,640823282,0.030820794,0.057310045,0.100683145,0.38316992,0.0,0.0,0.0,1.0
640927544,640927299,0.007253047,0.06729502,0.095437326,0.38780713,0.0,0.0,0.0,1.0
641031513,641031282,0.03246741,0.05978709,0.10234656,0.37999815,0.0,0.0,0.0,1.0
641131537,641131282,0.01969586,0.07364559,0.09416632,0.37802303,0.0,0.0,0.0,1.0
641235583,641235282,0.036077455,0.0531799,0.106590286,0.37075925,0.0,0.0,0.0,1.0
641340221,641340083,0.02585308,0.051283102,0.096632205,0.35680467,0.0,0.0,0.0,1.0
641440387,641440085,0.023285443,0.046375874,0.09958159,0.36440188,0.0,0.0,0.0,1.0
641540333,641540116,0.045144573,0.0514889,0.1002134,0.37580854,0.0,0.0,0.0,1.0
641644380,641644082,0.0069790045,0.07714921,0.09890471,0.36694446,0.0,0.0,0.0,1.0
641744335,641744090,0.014209729,0.056788962,0.09867884,0.37390143,0.0,0.0,0.0,1.0
641848380,641848082,0.0122513,0.057357036,0.094785266,0.37227014,0.0,0.0,0.0,1.0
641948395,641948082,0.010278465,0.06414117,0.098755695,0.3774282,0.0,0.0,0.0,1.0
642048254,642048082,0.042287998,0.071235016,0.09733147,0.3773569,0.0,0.0,0.0,1.0
642152303,642152082,0.0201164,0.063953586,0.093593806,0.36887106,0.0,0.0,0.0,1.0
642252286,642252102,0.0280418,0.052341323,0.09063258,0.37050563,0.0,0.0,0.0,1.0
642352258,642352082,0.025267052,0.06470459,0.09337065,0.37006912,0.0,0.0,0.0,1.0
642456216,642456082,0.011554087,0.058994792,0.09736179,0.3651451,0.0,0.0,0.0,1.0
642556301,642556082,0.023832202,0.06720091,0.09274912,0.36613894,0.0,0.0,0.0,1.0
