timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
583166198,-0.0017174718,-0.14936565,-0.12971379,0.81422526,-0.051171977,0.017716734,-0.578018,0.90585804,0.00472709,0.011689381,-0.423394,1
583198217,-0.27628827,0.12830368,0.050077796,0.8144577,-0.05049624,0.017472254,-0.5777572,0.90585804,0.00472709,0.011689381,-0.423394,1
583230577,-0.09528246,0.1973273,0.13173705,0.81469285,-0.04976651,0.016909389,-0.5775059,0.90585804,0.00472709,0.011689381,-0.423394,1
583262238,0.09056392,-0.03311589,0.043649588,0.8147582,-0.04962655,0.01637101,-0.5774411,0.90585804,0.00472709,0.011689381,-0.423394,1
583294412,0.26468924,-0.16962048,0.022682171,0.81490356,-0.04926003,0.015832188,-0.5772824,0.90585804,0.00472709,0.011689381,-0.423394,1
583326245,0.15699375,-0.09606706,-0.10582066,0.81497306,-0.04924797,0.015903074,-0.5771833,0.90585804,0.00472709,0.011689381,-0.423394,1
583358153,0.049874373,-0.02769109,-0.15929238,0.81507635,-0.049415596,0.016006937,-0.5770203,0.90585804,0.00472709,0.011689381,-0.423394,1
583391416,-0.27920413,-0.06911194,0.024071362,0.81537354,-0.04925121,0.015443787,-0.5766298,0.90585804,0.00472709,0.011689381,-0.423394,1
583423053,-0.39467922,0.19063209,0.092531696,0.815546,-0.04872981,0.015106916,-0.576439,0.90585804,0.00472709,0.011689381,-0.423394,1
583454964,0.099794805,0.20728987,0.064286426,0.8157149,-0.048265528,0.0146688055,-0.57625043,0.90585804,0.00472709,0.011689381,-0.423394,1
583487117,0.375893,-0.09225624,0.032789987,0.81587386,-0.04799205,0.014010035,-0.57606447,0.90585804,0.00472709,0.011689381,-0.423394,1
583518958,0.17890584,-0.28545836,-0.009998074,0.81591594,-0.04818072,0.0142533425,-0.5759832,0.90585804,0.00472709,0.011689381,-0.423394,1
583551420,-0.02342312,0.02738835,-0.14287071,0.81599116,-0.047586728,0.014969183,-0.57590795,0.90585804,0.00472709,0.011689381,-0.423394,1
583583094,-0.16153921,0.17072138,0.026301831,0.816261,-0.04703109,0.01566082,-0.5755526,0.90585804,0.00472709,0.011689381,-0.423394,1
583615013,-0.3828195,0.20942794,0.20329846,0.81641585,-0.046449836,0.016392041,-0.57535994,0.90585804,0.00472709,0.011689381,-0.423394,1
583647343,-0.19110285,0.15172186,0.11232438,0.8165031,-0.045511648,0.016974825,-0.5752942,0.90585804,0.00472709,0.011689381,-0.423394,1
583679115,0.17660525,0.15014715,0.11895301,0.81666195,-0.04463359,0.017041698,-0.57513547,0.90585804,0.00472709,0.011689381,-0.423394,1
583711551,0.30859557,-0.21520916,-0.005832718,0.8168498,-0.043979127,0.016507743,-0.5749345,0.90585804,0.00472709,0.011689381,-0.423394,1
583743093,0.20145883,-0.022034027,-0.072362185,0.81689256,-0.04355534,0.016268335,-0.5749129,0.90585804,0.00472709,0.011689381,-0.423394,1
583775604,0.22856684,0.105022065,0.070482366,0.8170876,-0.043322228,0.015948499,-0.5746624,0.90585804,0.00472709,0.011689381,-0.423394,1
583807113,0.15303212,-0.33417103,-0.09555758,0.81708676,-0.0440436,0.015057727,-0.5746327,0.90585804,0.00472709,0.011689381,-0.423394,1
583839133,-0.120290145,-0.29687473,-0.13995537,0.8171851,-0.044224404,0.014187015,-0.5745011,0.90585804,0.00472709,0.011689381,-0.423394,1
583871367,-0.20442557,0.10639636,0.12437449,0.8174125,-0.044396788,0.013863001,-0.5741722,0.90585804,0.00472709,0.011689381,-0.423394,1
583902930,-0.28173155,0.13321391,0.13464163,0.8175244,-0.04496672,0.013375506,-0.57398003,0.90585804,0.00472709,0.011689381,-0.423394,1
583935023,-0.064951986,0.06308707,0.020815823,0.8175304,-0.045512374,0.013152948,-0.5739337,0.90585804,0.00472709,0.011689381,-0.423394,1
