timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
343695022,-144.03284,35.91,103066.99,1.2246064
343717444,-144.03284,35.91,103066.99,1.2246064
343728754,-143.78445,35.91,103064.0,1.2245709
343739634,-143.86902,35.91,103065.0,1.2245827
343763617,-143.78445,35.91,103064.0,1.2245709
343775359,-144.03284,35.91,103066.99,1.2246064
343785440,-144.19666,35.91,103068.99,1.2246301
343805447,-143.54137,35.91,103061.0,1.2245352
343816446,-143.45682,35.91,103060.0,1.2245233
343827573,-143.04462,35.91,103054.99,1.2244638
343849488,-143.29298,35.91,103057.99,1.2244995
343860028,-143.37755,35.91,103059.0,1.2245114
343869487,-143.29298,35.91,103057.99,1.2244995
343891421,-143.12917,35.92,103055.99,1.2244756
343903028,-143.20844,35.92,103056.99,1.2244875
343915333,-143.78445,35.92,103064.0,1.2245709
343934974,-142.80151,35.92,103052.0,1.2244282
343945503,-143.29298,35.92,103057.99,1.2244995
343955632,-142.80151,35.92,103052.0,1.2244282
343976454,-143.04462,35.92,103054.99,1.2244638
343987562,-143.20844,35.92,103056.99,1.2244875
343999570,-143.12917,35.92,103055.99,1.2244756
344023731,-143.20844,35.92,103056.99,1.2244875
344036695,-142.96535,35.92,103053.99,1.2244519
344047382,-142.88078,35.92,103053.0,1.2244401
344071411,-143.04462,35.92,103054.99,1.2244638
344083550,-142.71696,35.92,103051.0,1.2244164
344095171,-142.6377,35.92,103050.0,1.2244045
344116699,-142.71696,35.92,103051.0,1.2244164
344127560,-142.71696,35.92,103051.0,1.2244164
344137436,-143.04462,35.92,103054.99,1.2244638
344159722,-142.6377,35.93,103050.0,1.2244045
344169442,-143.12917,35.93,103055.99,1.2244756
344179868,-142.88078,35.93,103053.0,1.2244401
344203338,-142.2255,35.93,103044.99,1.224345
344212682,-143.04462,35.93,103054.99,1.2244638
344223697,-142.06166,35.93,103042.99,1.2243212
344247514,-142.31004,35.93,103046.0,1.2243569
344257446,-142.71696,35.93,103051.0,1.2244164
344268437,-142.31004,35.93,103046.0,1.2243569
344291857,-142.6377,35.92,103050.0,1.2244045
344302776,-142.55315,35.92,103049.0,1.2243925
344313443,-142.06166,35.92,103042.99,1.2243212
344336309,-142.55315,35.92,103049.0,1.2243925
344346799,-141.89784,35.92,103041.0,1.2242975
344357478,-141.97711,35.92,103041.99,1.2243093
344380447,-142.80151,35.93,103052.0,1.2244282
344392001,-142.06166,35.93,103042.99,1.2243212
344402809,-142.31004,35.93,103046.0,1.2243569
344424952,-142.14093,35.93,103043.99,1.224333
